000905.SZ,厦门港务
000789.SZ,万年青
000791.SZ,甘肃电投
002051.SZ,中工国际
000576.SZ,广东甘化
000886.SZ,海南高速
000888.SZ,峨眉山A
000890.SZ,法尔胜
000895.SZ,双汇发展
001896.SZ,豫能控股
000897.SZ,津滨发展
000899.SZ,赣能股份
000900.SZ,现代投资
000918.SZ,嘉凯城
000920.SZ,南方汇通
000921.SZ,海信科龙
000923.SZ,河北宣工
000925.SZ,众合科技
000926.SZ,福星股份
000911.SZ,南宁糖业
000928.SZ,中钢国际
000930.SZ,中粮生化
000931.SZ,中关村
000932.SZ,华菱钢铁
000915.SZ,山大华特
000916.SZ,华北高速
000917.SZ,电广传媒
000003.SZ,PT金田A
000004.SZ,国农科技
000005.SZ,世纪星源
000009.SZ,中国宝安
000011.SZ,深物业A
000001.SZ,平安银行
000002.SZ,万科A
002673.SZ,西部证券
000422.SZ,湖北宜化
000423.SZ,东阿阿胶
000425.SZ,徐工机械
000718.SZ,苏宁环球
000719.SZ,大地传媒
000720.SZ,新能泰山
000721.SZ,西安饮食
000723.SZ,美锦能源
000725.SZ,京东方A
000727.SZ,华东科技
000728.SZ,国元证券
000729.SZ,燕京啤酒
000730.SZ,*ST环保
000731.SZ,四川美丰
000732.SZ,泰禾集团
000733.SZ,振华科技
002045.SZ,国光电器
002046.SZ,轴研科技
002047.SZ,宝鹰股份
002048.SZ,宁波华翔
000012.SZ,南玻A
002181.SZ,粤传媒
000537.SZ,广宇发展
000539.SZ,粤电力A
000540.SZ,中天城投
000541.SZ,佛山照明
000542.SZ,TCL通讯
000543.SZ,皖能电力
000544.SZ,中原环保
000545.SZ,金浦钛业
000546.SZ,金圆股份
000042.SZ,中洲控股
000043.SZ,中航地产
000046.SZ,泛海控股
000047.SZ,ST中侨
000048.SZ,康达尔
000049.SZ,德赛电池
000050.SZ,深天马A
000055.SZ,方大集团
000426.SZ,兴业矿业
002039.SZ,黔源电力
002040.SZ,南京港
002041.SZ,登海种业
002042.SZ,华孚色纺
002043.SZ,兔宝宝
000536.SZ,华映科技
000549.SZ,S湘火炬
000550.SZ,江铃汽车
000551.SZ,创元科技
000552.SZ,靖远煤电
000553.SZ,沙隆达A
000554.SZ,泰山石油
000555.SZ,神州信息
000883.SZ,湖北能源
000885.SZ,同力水泥
300150.SZ,世纪瑞尔
000532.SZ,力合股份
000533.SZ,万家乐
000534.SZ,万泽股份
000535.SZ,*ST猴王
002025.SZ,航天电器
002026.SZ,山东威达
002029.SZ,七匹狼
002030.SZ,达安基因
000400.SZ,许继电气
000401.SZ,冀东水泥
000402.SZ,金融街
000403.SZ,ST生化
000404.SZ,华意压缩
000405.SZ,ST鑫光
002032.SZ,苏泊尔
000860.SZ,顺鑫农业
000861.SZ,海印股份
000862.SZ,银星能源
000407.SZ,胜利股份
000409.SZ,山东地矿
000410.SZ,沈阳机床
000411.SZ,英特集团
000412.SZ,ST五环
000413.SZ,东旭光电
000416.SZ,民生控股
